ref,value,footprint
C1,470n,SM0805
C2,470n,SM0805
C3,100n,SM0603
C4,10u,SM1206
C5,100n,SM0603
C6,10u,SM1206
D1,DUAL_LED-RG-OLS-136UR_SYG,LED_BiColour-1206
D2,DUAL_LED-RG-OLS-136UR_SYG,LED_BiColour-1206
H1,MOUNTING_HOLE,Mounting_Hole-3mm
H2,MOUNTING_HOLE,Mounting_Hole-3mm
H3,MOUNTING_HOLE,~
H4,MOUNTING_HOLE,~
P1,Cores_T,PIN_ARRAY_2X1
P2,A Power,PIN_ARRAY_2X1
P3,Vdd_Swallow,PIN_ARRAY_2X1
P4,Power,PIN_ARRAY_2X1
P5,Swallow_V2_Core2_I/O,pin_array_8x2
P6,Cores_MT,PIN_ARRAY_3X1
P7,Cores_MB,PIN_ARRAY_2X1
P8,Cores_B,PIN_ARRAY_3X1
P9,VIO,PIN_ARRAY_3X1
P10,SDRAM_Disable,PIN_ARRAY_2X1
P11,CONN_1,PIN_ARRAY_1
P12,Power2,PIN_ARRAY_2X1
P13,VAA_Link,PIN_ARRAY_2X1
P14,Swallow_RST_N_G,PIN_ARRAY_3X1
P15,+5V_In,PIN_ARRAY_1
P16,ADC_DOUTB_Bypass,PIN_ARRAY_2X1
P17,ADC_DOUTA_Bypass,PIN_ARRAY_2X1
R1,0R5,SM0805
R2,0R,SM0805
U1,MAX4378T,TSSOP14
U2,MAX4378T,TSSOP14
U3,74LS574,SO20L
U4,AD7266,TQFP32
U5,74LVC1G00,SOT353
U6,74LS574,SO20L
U7,2k,YC124-JR
U8,10k,R_CAY-16
U9,74LVC1G02,SOT353
U10,DRAM-8MX8X4,TSSOP-54
U11,10k,R_CAY-16
U12,SN74CBTD3306,SO8N
